Timestamp,DateTimeStamp,PupilLeft,PupilRight,PupilDiameter
22005,17:54:39.005,3.359124,3.893252,0.5341279999999999
22022,17:54:39.022,3.35901,3.87534,0.51633
22039,17:54:39.039,3.378583,3.859768,0.481185
22055,17:54:39.055,3.435945,3.85361,0.4176650000000004
22072,17:54:39.072,3.364197,3.873317,0.5091200000000002
22089,17:54:39.089,3.405705,3.86573,0.4600249999999999
22105,17:54:39.105,3.384144,3.860874,0.4767299999999999
22122,17:54:39.122,3.364667,3.845388,0.48072099999999995
22139,17:54:39.139,3.392302,3.851875,0.45957300000000023
22155,17:54:39.155,3.327017,3.840133,0.5131159999999997
22172,17:54:39.172,3.306604,3.840558,0.533954
22188,17:54:39.188,3.340542,3.823682,0.4831399999999997
22205,17:54:39.205,3.34672,3.794675,0.4479549999999999
22222,17:54:39.222,3.306711,3.805295,0.49858400000000014
22238,17:54:39.238,3.239672,3.786385,0.546713
22255,17:54:39.255,3.275182,3.756609,0.48142700000000005
22272,17:54:39.272,3.230276,3.729708,0.4994320000000001
22288,17:54:39.288,3.243201,3.781319,0.5381179999999999
22305,17:54:39.305,3.161787,3.733522,0.5717349999999999
22322,17:54:39.322,3.180389,3.729631,0.549242
22338,17:54:39.338,3.176822,3.731136,0.5543139999999998
22355,17:54:39.355,3.234531,3.711459,0.476928
22372,17:54:39.372,3.239685,3.722364,0.48267899999999964
22388,17:54:39.388,3.234642,3.715276,0.4806339999999998
22405,17:54:39.405,3.266555,3.736849,0.470294
22422,17:54:39.422,3.19779,3.712027,0.514237
22438,17:54:39.438,3.204814,3.727866,0.5230520000000003
22455,17:54:39.455,3.230447,3.697257,0.46681000000000017
22472,17:54:39.472,3.292354,3.72358,0.4312260000000001
22488,17:54:39.488,3.240619,3.705651,0.4650319999999999
22505,17:54:39.505,3.185483,3.692077,0.5065939999999998
22522,17:54:39.522,3.236633,3.728391,0.4917579999999999
22538,17:54:39.538,3.219501,3.670826,0.45132499999999975
22555,17:54:39.555,3.22526,3.626055,0.400795
22572,17:54:39.572,3.181662,3.608657,0.4269949999999998
22588,17:54:39.588,3.142446,3.602202,0.45975600000000005
22605,17:54:39.605,3.216696,3.624676,0.4079799999999998
22622,17:54:39.622,3.200001,3.62481,0.4248090000000002
22638,17:54:39.638,3.135314,3.579865,0.4445509999999997
22655,17:54:39.655,3.169255,3.562584,0.39332900000000004
22672,17:54:39.672,3.128272,3.57319,0.4449179999999999
22688,17:54:39.688,3.105437,3.565348,0.4599110000000004
22705,17:54:39.705,3.094182,3.511453,0.41727099999999995
22722,17:54:39.722,3.083727,3.555849,0.4721219999999997
22738,17:54:39.738,3.093444,3.524369,0.4309250000000002
22755,17:54:39.755,3.086114,3.531205,0.4450910000000001
22771,17:54:39.771,3.091539,3.562725,0.4711859999999999
22788,17:54:39.788,3.077843,3.532179,0.4543360000000001
22805,17:54:39.805,3.101039,3.472971,0.3719319999999997
22821,17:54:39.821,3.079647,3.493654,0.4140069999999998
22838,17:54:39.838,3.101048,3.469136,0.3680880000000002
22855,17:54:39.855,3.08042,3.448637,0.368217
22871,17:54:39.871,3.067492,3.421349,0.3538570000000001
22888,17:54:39.888,3.06748,3.483539,0.41605899999999973
22905,17:54:39.905,3.080243,3.469445,0.38920200000000005
22921,17:54:39.921,3.123617,3.489602,0.3659850000000002
22938,17:54:39.938,3.076154,3.478388,0.402234
22955,17:54:39.955,3.076117,3.463769,0.3876520000000001
22971,17:54:39.971,3.098433,3.487501,0.38906799999999997
22988,17:54:39.988,3.136259,3.53409,0.39783100000000005
23005,17:54:40.005,3.163262,3.526502,0.3632399999999998
23021,17:54:40.021,3.167093,3.515299,0.34820600000000024
23038,17:54:40.038,3.162168,3.542526,0.3803580000000002
23055,17:54:40.055,3.17727,3.548714,0.3714439999999999
23071,17:54:40.071,3.172349,3.583646,0.4112969999999998
23088,17:54:40.088,3.176796,3.588802,0.4120059999999999
23105,17:54:40.105,3.205624,3.619213,0.413589
23121,17:54:40.121,3.227634,3.645388,0.41775399999999996
23138,17:54:40.138,3.241041,3.682493,0.44145199999999996
23155,17:54:40.155,3.225081,3.697155,0.4720740000000001
23171,17:54:40.171,3.252707,3.738487,0.4857800000000001
23188,17:54:40.188,3.286512,3.746778,0.46026599999999984
23205,17:54:40.205,3.294607,3.736302,0.4416949999999997
23221,17:54:40.221,3.31671,3.708198,0.39148799999999984
23238,17:54:40.238,3.370317,3.760581,0.39026400000000017
23255,17:54:40.255,3.33399,3.782359,0.448369
23271,17:54:40.271,3.368563,3.790312,0.42174900000000015
23288,17:54:40.288,3.358879,3.805679,0.4468000000000001
23305,17:54:40.305,3.393376,3.820043,0.42666700000000013
23321,17:54:40.321,3.400876,3.839434,0.438558
23338,17:54:40.338,3.372447,3.835427,0.46297999999999995
23354,17:54:40.354,3.418489,3.826117,0.4076279999999999
23371,17:54:40.371,3.392303,3.846511,0.45420799999999995
23388,17:54:40.388,3.406015,3.865148,0.459133
23404,17:54:40.404,3.439512,3.844813,0.4053009999999997
23421,17:54:40.421,3.422879,3.874393,0.45151399999999997
23438,17:54:40.438,3.457846,3.861588,0.4037419999999998
23454,17:54:40.454,3.480093,3.878724,0.39863099999999996
23471,17:54:40.471,3.47568,3.907933,0.4322529999999998
23488,17:54:40.488,3.507102,3.906909,0.399807
23504,17:54:40.504,3.470686,3.88019,0.40950399999999965
23521,17:54:40.521,3.471753,3.924884,0.45313099999999995
23538,17:54:40.538,3.44238,3.945478,0.503098
23554,17:54:40.554,3.467524,3.920615,0.45309100000000013
23571,17:54:40.571,3.504748,3.909853,0.4051049999999998
23588,17:54:40.588,3.473706,3.943662,0.4699559999999998
23604,17:54:40.604,3.469718,3.947598,0.4778800000000003
