Timestamp,DateTimeStamp,PupilLeft,PupilRight,PupilDiameter
2031001,11:01:46.001,3.154725,2.896298,0.2584270000000002
2031018,11:01:46.018,3.117294,2.848773,0.2685209999999998
2031035,11:01:46.035,3.06928,2.833293,0.23598700000000017
2031051,11:01:46.051,3.02084,2.818097,0.20274300000000034
2031068,11:01:46.068,2.96876,2.794818,0.17394200000000026
2031085,11:01:46.085,2.95256,2.737899,0.214661
2031101,11:01:46.101,2.945259,2.693665,0.2515939999999999
2031118,11:01:46.118,2.913021,2.698649,0.214372
2031135,11:01:46.135,2.897459,2.722423,0.17503599999999997
2031151,11:01:46.151,2.899408,2.639301,0.2601070000000001
2031168,11:01:46.168,2.88885,2.654194,0.2346560000000002
2031185,11:01:46.185,2.877812,2.64084,0.23697200000000018
2031201,11:01:46.201,2.837617,2.643281,0.19433599999999984
2031218,11:01:46.218,2.851511,2.677135,0.1743760000000001
2031235,11:01:46.235,2.813375,2.661263,0.15211200000000025
2031251,11:01:46.251,2.833195,2.653662,0.17953299999999972
2031268,11:01:46.268,2.822546,2.593516,0.22902999999999984
2031284,11:01:46.284,2.820168,2.655493,0.1646749999999999
2031301,11:01:46.301,2.830808,2.666247,0.1645610000000004
2031318,11:01:46.318,2.797448,2.681486,0.11596200000000012
2031334,11:01:46.334,2.824554,2.661893,0.16266099999999994
2031351,11:01:46.351,2.805736,2.667775,0.13796100000000022
2031368,11:01:46.368,2.83896,2.731743,0.10721700000000034
2031384,11:01:46.384,2.826808,2.709548,0.11726000000000036
2031401,11:01:46.401,2.810727,2.725478,0.08524900000000013
2031418,11:01:46.418,2.854231,2.739376,0.11485499999999993
2031434,11:01:46.434,2.890436,2.733771,0.15666499999999983
2031451,11:01:46.451,2.892802,2.729598,0.1632039999999999
2031468,11:01:46.468,2.876602,2.768326,0.10827600000000004
2031484,11:01:46.484,2.897356,2.793045,0.1043109999999996
2031501,11:01:46.501,2.977945,2.785065,0.19288000000000016
2031518,11:01:46.518,2.943882,2.793252,0.15063000000000004
2031534,11:01:46.534,3.017825,2.834067,0.1837580000000001
2031551,11:01:46.551,2.964455,2.864816,0.09963900000000026
2031568,11:01:46.568,3.050016,2.871099,0.17891699999999977
2031584,11:01:46.584,3.06203,2.88152,0.18050999999999995
2031601,11:01:46.601,3.072497,2.895985,0.17651199999999978
2031618,11:01:46.618,3.075964,2.913522,0.16244199999999998
2031634,11:01:46.634,3.07779,2.966153,0.11163699999999999
2031651,11:01:46.651,3.087585,2.940633,0.14695199999999975
2031668,11:01:46.668,3.109447,2.949442,0.16000499999999995
2031684,11:01:46.684,3.148791,2.988716,0.16007499999999997
2031701,11:01:46.701,3.141087,2.995574,0.14551300000000023
2031718,11:01:46.718,3.143557,2.988578,0.15497899999999998
2031734,11:01:46.734,3.169888,2.987852,0.18203599999999964
2031751,11:01:46.751,3.190895,3.016539,0.17435599999999996
2031768,11:01:46.768,3.183729,3.004984,0.17874500000000015
2031784,11:01:46.784,3.198774,3.05178,0.14699399999999985
2031801,11:01:46.801,3.178308,3.039073,0.13923499999999978
2031818,11:01:46.818,3.208041,3.034737,0.17330400000000035
2031834,11:01:46.834,3.18445,3.049547,0.134903
2031851,11:01:46.851,3.147397,3.022029,0.12536799999999992
2031867,11:01:46.867,3.165306,2.972244,0.1930620000000003
2031884,11:01:46.884,3.130965,2.980208,0.15075700000000003
2031901,11:01:46.901,3.128949,2.978282,0.15066699999999988
